epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9153,0.83528,2.45505,1.31444,0.00491,0.79996,0.23647,0.18364,0.80528,3.00655,1.18044,0.066068,6.8e-05,6.8e-05
2,30.7053,0.7712,2.11621,1.21667,0.60568,0.41289,0.30683,0.23948,0.85719,2.79757,1.16738,0.0311225,0.000122475,0.000122475
3,45.8408,0.76508,2.05208,1.23155,0.7921,0.2045,0.3876,0.31453,0.82961,2.4084,1.12958,0.000155,0.000155,0.000155
4,60.6523,0.74082,1.92089,1.17109,0.36022,0.41734,0.41527,0.32339,0.85091,2.08474,1.15994,0.0001325,0.0001325,0.0001325
5,74.9578,0.69551,1.80366,1.15471,0.35155,0.42547,0.41431,0.31237,0.8729,1.98169,1.17718,0.00011,0.00011,0.00011
6,91.1362,0.65432,1.76482,1.14597,0.42383,0.49553,0.44046,0.33819,0.87462,1.89519,1.1868,8.75e-05,8.75e-05,8.75e-05
7,106.82,0.69674,1.7478,1.18495,0.43272,0.49946,0.45765,0.35862,0.86747,1.83195,1.17912,6.5e-05,6.5e-05,6.5e-05
8,122.074,0.68156,1.69343,1.13491,0.43147,0.43808,0.4515,0.35602,0.8452,1.80458,1.16368,4.25e-05,4.25e-05,4.25e-05
